,SCOPUS ID,PUBMED ID,title,journal,volume,articlenum,date,type,forward citations,abstract,keywords,authors,backward citations,id,CONTROVERSIAL,GOOD_FOR_TEACHING,CONFIRMATION,TECHNICAL_ADVANCE,NOVEL_DRUG_TARGET,NEW_FINDING,HYPOTHESIS,REFUTATION,NEGATIVE,year
12541,SCOPUS_ID:84872569990,23332765,Monitoring tumorigenesis and senescence in vivo with a p16 INK4a-luciferase model,Cell,152.0,340-351,2013-01-07,Article,252,"Monitoring cancer and aging in vivo remains experimentally challenging. Here, we describe a luciferase knockin mouse (p16LUC), which faithfully reports expression of p16INK4a, a tumor suppressor and aging biomarker. Lifelong assessment of luminescence in p16+/LUC mice revealed an exponential increase with aging, which was highly variable in a cohort of contemporaneously housed, syngeneic mice. Expression of p16 INK4a with aging did not predict cancer development, suggesting that the accumulation of senescent cells is not a principal determinant of cancer-related death. In 14 of 14 tested tumor models, expression of p16 LUC was focally activated by early neoplastic events, enabling visualization of tumors with sensitivity exceeding other imaging modalities. Activation of p16INK4a was noted in the emerging neoplasm and surrounding stromal cells. This work suggests that p16INK4a activation is a characteristic of all emerging cancers, making the p16 LUC allele a sensitive, unbiased reporter of neoplastic transformation. © 2013 Elsevier Inc.",,Burd C.E.; Sorrentino J.A.; Clark K.S.; Darr D.B.; Krishnamurthy J.; Deal A.M.; Bardeesy N.; Castrillon D.H.; Beach D.H.; Sharpless N.E.,70.0,718002368.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2013
7727,SCOPUS_ID:0031283282,9413992,Disruption of α3 connexin gene leads to proteolysis and cataractogenesis in mice,Cell,91.0,833-843,1997-12-12,Article,353,"Gap junction channels formed by α3 (Cx46) and α8 (Cx50) connexin provide pathways for communication between the fiber cells in the normal transparent lens. To determine the specific role of α3 connexin in vivo, the α3 connexin gene was disrupted in mice. Although the absence of α3 connexin had no obvious influence on the early stages of lens formation and the differentiation of lens fibers, mice homozygous for the disrupted α3 gene developed nuclear cataracts that were associated with the proteolysis of crystallins. This study establishes the importance of gap junctions in maintaining normal lens transparency by providing a cell-cell signaling pathway or structural component for the proper organization of lens membrane and cytoplasmic proteins.",,Gong X.; Li E.; Klier G.; Huang Q.; Wu Y.; Lei H.; Kumar N.M.; Horwitz J.; Gilula N.B.,52.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997
13741,SCOPUS_ID:85031298583,29033128,The DNA Inflammasome in Human Myeloid Cells Is Initiated by a STING-Cell Death Program Upstream of NLRP3,Cell,171.0,1110-1124.e18,2017-11-16,Article,258,"© 2017 Elsevier Inc.Detection of cytosolic DNA constitutes a central event in the context of numerous infectious and sterile inflammatory conditions. Recent studies have uncovered a bipartite mode of cytosolic DNA recognition, in which the cGAS-STING axis triggers antiviral immunity, whereas AIM2 triggers inflammasome activation. Here, we show that AIM2 is dispensable for DNA-mediated inflammasome activation in human myeloid cells. Instead, detection of cytosolic DNA by the cGAS-STING axis induces a cell death program initiating potassium efflux upstream of NLRP3. Forward genetics identified regulators of lysosomal trafficking to modulate this cell death program, and subsequent studies revealed that activated STING traffics to the lysosome, where it triggers membrane permeabilization and thus lysosomal cell death (LCD). Importantly, the cGAS-STING-NLRP3 pathway constitutes the default inflammasome response during viral and bacterial infections in human myeloid cells. We conclude that targeting the cGAS-STING-LCD-NLRP3 pathway will ameliorate pathology in inflammatory conditions that are associated with cytosolic DNA sensing. In humans, a cGAS-STING-lysosomal cell death-NLRP3 pathway is responsible for the inflammasome response to bacterial and viral DNA with AIM2 being dispensable.",AIM2; Caspase-1; cGAS; DNA; IL-1β; inflammasome; lysosomal cell death; NLRP3; STING,Gaidt M.M.; Ebert T.S.; Chauhan D.; Ramshorn K.; Pinci F.; Zuber S.; O'Duill F.; Schmid-Burgk J.L.; Hoss F.; Buhmann R.; Wittmann G.; Latz E.; Subklewe M.; Hornung V.,54.0,731997464.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2017
5435,SCOPUS_ID:0025101239,2406028,FUS3 encodes a cdc2+/CDC28-related kinase required for the transition from mitosis into conjugation,Cell,60.0,649-664,1990-02-23,Article,308,"FUS3 is required for both the arrest of cells in G1 and mating. Upon exposure to mating pheromone, fus3-1 and fus3-2 mutants fail to arrest in G1 and continue to divide while undergoing the transcription induction and morphological changes typical of mating cells. The G1 arrest defect of these fus3 mutants is suppressed by a daf1/whi1 null mutation (also called cln3, a putative cyclin). FUS3 has a positive role in conjugation, because overexpression of FUS3 increases the pheromone sensitivity of wild-type cells, while the absence of FUS3 causes sterility. The suppression of a gpa1 null (Gα subunit) by a fus3 null also suggests FUS3 is in the signal transduction pathway. The predicted FUS3 protein is 35% identical to the cdc2+/CDC28 kinases and 52% identical to the KSS1 predicted kinase. © 1990.",,Elion E.A.; Grisafi P.L.; Fink G.R.,83.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
4088,SCOPUS_ID:0023659499,2884042,Mitochondrial protein import: Nucleoside triphosphates are involved in conferring import-competence to precursors,Cell,49.0,815-823,1987-06-19,Article,192,"The role of nucleoside triphosphates (NTPs) in mitochondrial protein import was investigated with the precursors of N. crassa ADP ATP carrier, F1-ATPase subunit β, F0-ATPase subunit 9, and fusion proteins between subunit 9 and mouse dihydrofolate reductase. NTPs were necessary for the initial interaction of precursors with the mitochondria and for the completion of translocation of precursors from the mitochondrial surface into the mitochondria. Higher levels of NTPs were required for the latter reactions as compared with the early stages of import. Import of precursors having identical presequences but different mature protein parts required different levels of NTPs. The sensitivity of precursors in reticulocyte lysate to proteases was decreased by removal of NTPs and increased by their readdition. We suggest that the hydrolysis of NTPs is involved in modulating the folding state of precursors in the cytosol, thereby conferring import competence. © 1987.",,Pfanner N.; Tropschug M.; Neupert W.,73.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
2494,SCOPUS_ID:0020822842,6311431,Isotype switching in murine pre-B cell lines,Cell,34.0,545-556,1983-01-01,Article,34,"Isotype switching at the pre-B cell stage was studied by employing A-MuLV-transformed cell lines. Two γ2b-producing cell lines that did not have other cytoplasmic heavy chains or light chains were established from A-MuLV-transformed cell lines. One clone (SL2-1-52) arose spontaneously from a non-Ig-producing cell line (SL2-1) during in vitro culture. Another clone (AT11-2-24-6-99) underwent isotype switching from a μ-producing cell line (AT11-2-24-6), which had been derived from another non-lg-producing line (AT11-2). Southern blot analysis of two γ2b-producing clones was performed in comparison to that of their respective parent clones. The results showed that isotype switching can operate at the stage of pre-B cells by a CH gene deletion mechanism without utilizing the switch region. In addition, the possibility is presented that deletion of the intervening CH genes could occur prior to the formation of the functional V region-coding DNA segment. This indicates that the prior expression of μ chains is not obligatory for the expression of other isotypes and that isotype commitment could occur in pre-B cells. © 1983.",,Akira S.; Sugiyama H.; Yoshida N.; Kikutani H.; Yamamura Y.; Kishimoto T.,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983
11432,SCOPUS_ID:77955041880,20655468,Essential Regulation of Cell Bioenergetics by Constitutive InsP3 Receptor Ca2+ Transfer to Mitochondria,Cell,142.0,270-283,2010-01-01,Article,744,"Mechanisms that regulate cellular metabolism are a fundamental requirement of all cells. Most eukaryotic cells rely on aerobic mitochondrial metabolism to generate ATP. Nevertheless, regulation of mitochondrial activity is incompletely understood. Here we identified an unexpected and essential role for constitutive InsP3R-mediated Ca2+ release in maintaining cellular bioenergetics. Macroautophagy provides eukaryotes with an adaptive response to nutrient deprivation that prolongs survival. Constitutive InsP3R Ca2+ signaling is required for macroautophagy suppression in cells in nutrient-replete media. In its absence, cells become metabolically compromised due to diminished mitochondrial Ca2+ uptake. Mitochondrial uptake of InsP3R-released Ca2+ is fundamentally required to provide optimal bioenergetics by providing sufficient reducing equivalents to support oxidative phosphorylation. Absence of this Ca2+ transfer results in enhanced phosphorylation of pyruvate dehydrogenase and activation of AMPK, which activates prosurvival macroautophagy. Thus, constitutive InsP3R Ca2+ release to mitochondria is an essential cellular process that is required for efficient mitochondrial respiration and maintenance of normal cell bioenergetics. © 2010 Elsevier Inc.",Cellbio; Signaling,Cardenas C.; Miller R.A.; Smith I.; Bui T.; Molgo J.; Muller M.; Vais H.; Cheung K.-H.; Yang J.; Parker I.; Thompson C.B.; Birnbaum M.J.; Hallows K.R.; Foskett J.K.,48.0,4794956.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2010
13616,SCOPUS_ID:84961782585,27015308,Long-Lived Binding of Sox2 to DNA Predicts Cell Fate in the Four-Cell Mouse Embryo,Cell,165.0,75-87,2016-03-24,Article,137,"© 2016 Elsevier Inc.Transcription factor (TF) binding to DNA is fundamental for gene regulation. However, it remains unknown how the dynamics of TF-DNA interactions change during cell-fate determination in vivo. Here, we use photo-activatable FCS to quantify TF-DNA binding in single cells of developing mouse embryos. In blastocysts, the TFs Oct4 and Sox2, which control pluripotency, bind DNA more stably in pluripotent than in extraembryonic cells. By contrast, in the four-cell embryo, Sox2 engages in more long-lived interactions than does Oct4. Sox2 long-lived binding varies between blastomeres and is regulated by H3R26 methylation. Live-cell tracking demonstrates that those blastomeres with more long-lived binding contribute more pluripotent progeny, and reducing H3R26 methylation decreases long-lived binding, Sox2 target expression, and pluripotent cell numbers. Therefore, Sox2-DNA binding predicts mammalian cell fate as early as the four-cell stage. More generally, we reveal the dynamic repartitioning of TFs between DNA sites driven by physiological epigenetic changes. Video Abstract.",,White M.D.; Angiolini J.F.; Alvarez Y.D.; Kaur G.; Zhao Z.W.; Mocskos E.; Bruno L.; Bissiere S.; Levi V.; Plachta N.,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
13437,SCOPUS_ID:84983804225,27545348,Cellular Cholesterol Directly Activates Smoothened in Hedgehog Signaling,Cell,166.0,1176-1187.e14,2016-08-25,Article,228,"© 2016 Elsevier Inc.In vertebrates, sterols are necessary for Hedgehog signaling, a pathway critical in embryogenesis and cancer. Sterols activate the membrane protein Smoothened by binding its extracellular, cysteine-rich domain (CRD). Major unanswered questions concern the nature of the endogenous, activating sterol and the mechanism by which it regulates Smoothened. We report crystal structures of CRD complexed with sterols and alone, revealing that sterols induce a dramatic conformational change of the binding site, which is sufficient for Smoothened activation and is unique among CRD-containing receptors. We demonstrate that Hedgehog signaling requires sterol binding to Smoothened and define key residues for sterol recognition and activity. We also show that cholesterol itself binds and activates Smoothened. Furthermore, the effect of oxysterols is abolished in Smoothened mutants that retain activation by cholesterol and Hedgehog. We propose that the endogenous Smoothened activator is cholesterol, not oxysterols, and that vertebrate Hedgehog signaling controls Smoothened by regulating its access to cholesterol.",,Huang P.; Nedelcu D.; Watanabe M.; Jao C.; Kim Y.; Liu J.; Salic A.,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
8990,SCOPUS_ID:0035967868,11439182,"Activation of cardiac gene expression by myocardin, a transcriptional cofactor for serum response factor",Cell,105.0,851-862,2001-06-29,Article,737,"Serum response factor (SRF) regulates transcription of numerous muscle and growth factor-inducible genes. Because SRF is not muscle specific, it has been postulated to activate muscle genes by recruiting myogenic accessory factors. Using a bioinformatics-based screen for unknown cardiac-specific genes, we identified a novel and highly potent transcription factor, named myocardin, that is expressed in cardiac and smooth muscle cells. Myocardin belongs to the SAP domain family of nuclear proteins and activates cardiac muscle promoters by associating with SRF. Expression of a dominant negative mutant of myocardin in Xenopus embryos interferes with myocardial cell differentiation. Myocardin is the founding member of a class of muscle transcription factors and provides a mechanism whereby SRF can convey myogenic activity to cardiac muscle genes.",,Wang D.-Z.; Chang P.S.; Wang Z.; Sutherland L.; Richardson J.A.; Small E.; Krieg P.A.; Olson E.N.,42.0,1002854.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2001
